FREQ,TIME_FORMAT,TIME_PERIOD,NACE_R2,NA_ITEM,GEO,OBS_VALUE,UNIT,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,NACE_R2_DESC,NA_ITEM_DESC,UNIT_DESC,GEO_DESC
A,P1Y,2000,C_HTC,B1G,AT,2.20265149130648268221133871353569944729,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Austria
A,P1Y,2000,C_HTC,B1G,AT,10.7915000359819473429902026297663229534,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Austria
A,P1Y,2000,C_HTC,B1G,AT,4198.8,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Austria
A,P1Y,2000,C_HTC,B1G,AT,4198.8,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Austria
A,P1Y,2000,C_HTC,B1G,BE,2.16616351464010560506400426199363675252,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Belgium
A,P1Y,2000,C_HTC,B1G,BE,11.01559007164448675544562603846692809527,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Belgium
A,P1Y,2000,C_HTC,B1G,BE,4952.4,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Belgium
A,P1Y,2000,C_HTC,B1G,BE,4952.4,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Belgium
A,P1Y,2000,C_HTC,B1G,BG,0.727666332198247596172838530761876920889,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Bulgaria
A,P1Y,2000,C_HTC,B1G,BG,5.25895049391880317478444584023296979387,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Bulgaria
A,P1Y,2000,C_HTC,B1G,BG,92.1,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Bulgaria
A,P1Y,2000,C_HTC,B1G,BG,179.7,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Bulgaria
A,P1Y,2000,C_HTC,B1G,CY,0.3209848954259652401799953274350665840503,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Cyprus
A,P1Y,2000,C_HTC,B1G,CY,3.58886996024985803520726859738784781374,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Cyprus
A,P1Y,2000,C_HTC,B1G,CY,31,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Cyprus
A,P1Y,2000,C_HTC,B1G,CY,31.6,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Cyprus
A,P1Y,2000,C_HTC,B1G,CZ,1.32878287157282431047075662344383051058,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Czechia
A,P1Y,2000,C_HTC,B1G,CZ,5.1778820075938866022143518075364538464,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Czechia
A,P1Y,2000,C_HTC,B1G,CZ,811.4,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Czechia
A,P1Y,2000,C_HTC,B1G,CZ,28885,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Czechia
A,P1Y,2000,C_HTC,B1G,DE,2.24575654022039016536360906904952074577,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Germany
A,P1Y,2000,C_HTC,B1G,DE,9.85616142781648293575610442777263674818,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Germany
A,P1Y,2000,C_HTC,B1G,DE,42710,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Germany
A,P1Y,2000,C_HTC,B1G,DE,42710,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Germany
A,P1Y,2000,C_HTC,B1G,DK,2.68862182130931507403115914009484804165,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Denmark
A,P1Y,2000,C_HTC,B1G,DK,16.37503772775650903083350542485425171959,PERC_OF_MANUF,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total manufacturing,Denmark
A,P1Y,2000,C_HTC,B1G,DK,4123.3,CP_MEUR,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million euro",Denmark
A,P1Y,2000,C_HTC,B1G,DK,30734,CP_MNAC,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross","Current prices, million units of national currency",Denmark
A,P1Y,2000,C_HTC,B1G,EE,0.7118275674696612932439775403006701684477,PERC_OF_TOTAL,Annual,Annual,Year 2000,High-technology manufacturing,"Value added, gross",Percentage of total value added,Estonia
